name,rsna_test/mAP_run_results,rsna_test/mAP_mean,rsna_test/mAP_std,rsna_test/mAP_num_runs,rsna_test/mAP_95_interval,rsna_test/mAP@0.5_run_results,rsna_test/mAP@0.5_mean,rsna_test/mAP@0.5_std,rsna_test/mAP@0.5_num_runs,rsna_test/mAP@0.5_95_interval,rsna_test/mAP@0.75_run_results,rsna_test/mAP@0.75_mean,rsna_test/mAP@0.75_std,rsna_test/mAP@0.75_num_runs,rsna_test/mAP@0.75_95_interval
ablation_noweight_no_att,0.1480274349451065;0.15873965620994568;0.15873965620994568;0.15873965620994568;0.15873965620994568,0.1565972119569778,0.0047906509876398,5.0,0.0041991907358169,0.21725234389305115;0.233749121427536;0.233749121427536;0.233749121427536;0.233749121427536,0.230449765920639,0.0073775831953599,5.0,0.006466736793518,0.007566186133772135;0.010464800521731377;0.010464800521731377;0.010464800521731377;0.010464800521731377,0.0098850776441395,0.0012962997624071,5.0,0.00113625684008
byol_100,0.12723898887634277;0.1283681094646454;0.13467031717300415;0.113121397793293;0.1039527952671051,0.121470321714878,0.0125664746473701,5.0,0.0110150006872266,0.1814282238483429;0.18846070766448977;0.1965564489364624;0.1713932454586029;0.14945755898952484,0.1774592369794845,0.0181822643110858,5.0,0.0159374573619068,0.012705487199127674;0.008959433995187283;0.008633412420749664;0.006661984138190746;0.008970243856310844,0.0091861123219132,0.0021886458172363,5.0,0.0019184326437963
chexpert_30,0.15873949229717255;0.14242064952850342;0.13812340795993805;0.15628480911254883;0.14242064952850342,0.1475978016853332,0.0092597423439341,5.0,0.0081165220273866,0.2464599758386612;0.21195530891418457;0.20249265432357788;0.23985151946544647;0.21195530891418457,0.2225429534912109,0.019350848470696,5.0,0.0169617665402874,0.01024049799889326;0.010365921072661877;0.014524364843964577;0.01146908476948738;0.010365921072661877,0.0113931579515337,0.0018199778612623,5.0,0.0015952809324083
chexpert_100,0.12852180004119873;0.12116368114948271;0.11119843274354936;0.12116368114948271;0.11119843274354936,0.1186492055654525,0.0074354106795644,5.0,0.0065174248182925,0.18369343876838684;0.1813419908285141;0.16591262817382812;0.1813419908285141;0.16591262817382812,0.1756405353546142,0.0089320602140443,5.0,0.0078292959765479,0.015040906146168709;0.007588301319628954;0.005050271283835173;0.007588301319628954;0.005050271283835173,0.0080636102706193,0.0041016740067711,5.0,0.0035952757850682
ConVIRT_100,0.14051492512226105;0.1471928358078003;0.15053877234458923;0.17034535109996796;0.17034535109996796,0.1557874470949173,0.0137707207078749,5.0,0.0120705688999731,0.20870506763458252;0.22041141986846924;0.21801863610744476;0.2548988163471222;0.2548988163471222,0.2313865512609481,0.0219046660730743,5.0,0.0192002863666203,0.007548078428953886;0.011343107558786867;0.010641233064234257;0.013031008653342724;0.013031008653342724,0.011118887271732,0.0022550787362504,5.0,0.0019766636647571
ConVIRT_30,0.15801770985126495;0.13348975777626038;0.15690690279006958;0.13348975777626038;0.15690690279006958,0.1477622061967849,0.0130367928821334,5.0,0.01142725279647,0.21862374246120453;0.19846463203430176;0.23171688616275787;0.19846463203430176;0.23171688616275787,0.2157973557710647,0.0167010327657915,5.0,0.0146391006670344,0.02231214195489883;0.0048917545937001705;0.012190371751785278;0.0048917545937001705;0.012190371751785278,0.0112952789291739,0.0071586294267788,5.0,0.006274815353411
LoVT_100,0.14376617968082428;0.1698375642299652;0.17608344554901123;0.15333913266658783;0.17608344554901123,0.1638219535350799,0.0145687983641561,5.0,0.0127701148091544,0.2150650918483734;0.2444727718830109;0.26000452041625977;0.229746475815773;0.26000452041625977,0.2418586760759353,0.0195574690427779,5.0,0.0171428774570196,0.01340349856764078;0.02215559035539627;0.019622692838311195;0.008745931088924408;0.019622692838311195,0.0167100811377167,0.0054995763193431,5.0,0.0048205911870197
LoVT_30,0.18721075356006625;0.1775035262107849;0.1775035262107849;0.1775035262107849;0.1775035262107849,0.1794449716806411,0.0043412040452076,5.0,0.0038052331209182,0.260005921125412;0.27276766300201416;0.27276766300201416;0.27276766300201416;0.27276766300201416,0.2702153146266937,0.0057072244694776,5.0,0.005002602815628,0.022767985239624977;0.010203281417489052;0.010203281417489052;0.010203281417489052;0.010203281417489052,0.0127162221819162,0.0056191063726894,5.0,0.0049253638982772
pixelpro_30,0.054705195128917694;0.10103683173656464;0.0897773802280426;0.10103683173656464;0.0897773802280426,0.08726672381162644,0.019053160406913724,5.0,0.016700831447578123,0.07630877196788788;0.15152299404144287;0.12828469276428223;0.15152299404144287;0.12828469276428223,0.12718482911586762,0.030722488241122784,5.0,0.026929448280874686,0.001777414930984378;0.009094536304473875;0.004919052589684725;0.009094536304473875;0.004919052589684725,0.005960918543860316,0.0031349558350617928,5.0,0.0027479099466338522
pixelpro_100,0.07708524167537689;0.09283582866191864;0.059303995221853256;0.09283582866191864;0.059303995221853256,0.0762729778885841,0.0167720643439206,5.0,0.0147013625904347,0.12165949493646622;0.1372440606355667;0.08578848093748093;0.1372440606355667;0.08578848093748093,0.1135449156165123,0.0261246276480203,5.0,0.0228992457766748,0.004870187491178513;0.007491928990930319;0.004041875246912241;0.007491928990930319;0.004041875246912241,0.0055875591933727,0.0017710271409198,5.0,0.0015523737342208
random,0.035538870841264725;0.03733480721712112;0.04341592267155647;0.040005072951316833;0.04341592267155647,0.0399421192705631,0.0035470148074673,5.0,0.0031090955608645,0.05108294636011124;0.0504855215549469;0.058914653956890106;0.055085744708776474;0.058914653956890106,0.0548967041075229,0.0040720651394923,5.0,0.0035693224685991,0.0014460874954238534;0.0011260872706770897;0.005792487412691116;0.0017792030703276396;0.005792487412691116,0.0031872705323621,0.0023894119972869,5.0,0.0020944119596573
simclr_100,0.1256369948387146;0.13195687532424927;0.13195687532424927;0.13195687532424927;0.13195687532424927,0.1306928992271423,0.0028263364750659,5.0,0.0024773931503295,0.18173854053020477;0.191005140542984;0.191005140542984;0.191005140542984;0.191005140542984,0.1891518205404281,0.0041441495097749,5.0,0.0036325072050094,0.005992768332362175;0.014597873203456402;0.014597873203456402;0.014597873203456402;0.014597873203456402,0.0128768522292375,0.0038483198890562,5.0,0.0033732011094689
simclr_30,0.12040450423955916;0.1188221350312233;0.1188221350312233;0.1188221350312233;0.1194016858935356,0.1192545190453529,0.0006901072081789,5.0,0.0006049056386662,0.17759814858436584;0.17290149629116058;0.17290149629116058;0.17290149629116058;0.1742221713066101,0.1741049617528915,0.0020347653225744,5.0,0.001783550443178,0.006572275888174772;0.007509492337703705;0.007509492337703705;0.007509492337703705;0.007166543044149876,0.0072534591890871,0.0004087248540473,5.0,0.0003582631306354
